gvkey,fyear,conm,cik,ein
1263,1990,ESSAR STEEL ALGOMA INC,1616896,
1264,1990,ALGOREX CORP,3535,11-2157882
1265,1990,AMERICAN EAGLE RESOURCES INC,731297,95-3494141
1266,1990,ALICO INC,3545,59-0906081
1272,1990,ALL STATE PROPERTIES HLDGS,745543,32-0252180
1274,1990,ALLEGHANY CORP,775368,51-0283071
1277,1990,ALLECO INC,3656,52-1158079
1278,1990,SUNBEAM CORPORATION,3662,25-1638266
1279,1990,ALLEGHENY ENERGY INC,3673,13-5531602
1281,1990,ALLEN TELECOM INC,3721,38-0290950
1283,1990,ALLEN ORGAN CO  -CL B,3753,23-1263194
1286,1990,ALLIANCE NORTHWEST INDS INC,745452,76-0096223
1297,1990,ALLIED PRODUCTS,3941,38-0292230
1300,1990,HONEYWELL INTERNATIONAL INC,773840,22-2640650
1301,1989,ALLIED STORES,NA,51-0297068
1308,1990,ALLIS-CHALMERS ENERGY INC,3982,39-0126090
1311,1990,ALC COMMUNICATIONS INC,783425,38-2643582
1318,1990,ALLTEL CORP,65873,34-0868285
1324,1989,SCHERER HEALTHCARE INC,703598,59-0688813
1327,1989,SKYWORKS SOLUTIONS INC,4127,04-2302115
1328,1989,ALPHA SOLARCO INC,NA,31-0944136
1331,1989,ALPINE GROUP INC,4164,22-1620387
1332,1990,ASIA SUPERNET CORP,4165,93-0636333
1334,1989,NQL INC,1122965,33-0887356
1335,1990,ALLTEL NEW YORK INC,66081,15-0306510
1336,1990,ALLTEL PENNSYLVANIA INC,65899,25-1145739
1337,1990,ALLTEL ILLINOIS INC,31140,37-0902373
1351,1990,ALTRON INC,741339,04-2464301
1352,2012,ARROW DOW JONES GLBL YLD ETF,NA,
1356,1990,ALCOA INC,NA,25-0317820
1359,1990,ALZA CORP,4310,77-0142070
1360,1989,SENTO CORP,4317,87-0284979
1361,1990,AMALGAMATED AUTOMOTIVE INDS,4325,23-1716951
1363,1990,BESTWAY INC,4344,81-0332743
1365,1990,AMAX INC,4363,13-4923460
1367,1990,AMBER RESOURCES CO OF COLO,276750,84-0750506
1370,1990,AMBULATORY MEDICAL CARE INC,724126,31-1068459
1372,1990,AMCAST INDUSTRIAL CORP,27425,31-0258080
1378,1990,AMELCO CORP,4438,99-0068616
1380,1990,HESS CORP,4447,13-4921002
1382,1990,US AIRWAYS GROUP INC,701345,54-1194634
1388,1990,AMERICAN AIRLINES INC,4515,13-1502798
1392,1990,AMDAHL CORP,4427,94-1728548
1393,1989,AMERCO,4457,88-0106815
1397,1990,AMERICAN BILTRITE INC,4611,04-1701350
1408,1990,BEAM INC,789073,13-3295276
1410,1990,ABM INDUSTRIES INC,771497,94-1369354
1411,1990,AMERICAN BUSINESS PRODS/GA,4672,58-1030529
1413,1989,AMERICAN CAMPGROUNDS  -CL A,4688,91-0858034
1414,1990,PRIMERICA INC,1475922,27-1204330
1416,1990,AMERICAN CAPITAL CORP,760684,59-0723480
1417,1990,INVESCO BOND FUND,5094,52-0906083
1418,1990,TRANSFINANCIAL HOLDINGS INC,719271,46-0278762
1422,1990,AMERICAN COMMUN & TV,357070,59-2129866
1429,1990,AMERICAN CRYSTAL SUGAR CO,4828,84-0004720
1430,1990,AMERICAN CYANAMID CO,4829,13-0430890
1431,1989,AMERICAN CYTOGENETICS,4833,95-2701324
1439,1990,US ECOLOGY INC,742126,95-3889638
1440,1990,AMERICAN ELECTRIC POWER CO,4904,13-4922640
1441,1990,MANSFELDER METALS LTD,352281,04-2608713
1444,1990,AMERICAN VANTAGE COMPANIES,315428,04-2709807
1446,1990,AMERICAN EXPLORATION CO,715428,74-2086890
1447,1990,AMERICAN EXPRESS CO,4962,13-4922250
1448,1990,AMERICAN EXPRESS CREDIT CORP,4969,11-1988350
1449,1990,AFLAC INC,4977,58-1167100
1450,1990,AMERICAN FAMILY FINL SVCS,NA,39-6040596
1456,1990,AMERICAN FILTRONA CORP,5009,54-0574583
1462,1990,AMERICAN FRUCTOSE  -CL A,725552,06-1085786
1465,1990,AMERICAN GENERAL CORP,5103,74-0483432
1468,1989,AMERICAN GREETINGS  -CL A,5133,34-0065325
1470,1990,ENCORE GROUP INC,276259,93-0580867
1472,1990,AMER HEALTHCARE MGMT,NA,75-1636788
1474,1990,AMERICAN HERITAGE LIFE INVS,5172,59-1219710
1475,1990,AMDURA CORP,5177,41-0121800
1478,1990,WYETH,5187,13-2526821
1479,1990,AMERICAN HOME SHIELD,5193,13-2686654
1480,1990,AMERICAN HOSPITAL MGMT CORP,5197,95-1861243
1484,1989,AMERICAN INDUSTRIES LTD,276298,88-0110436
1485,1990,AMERITECH CORP,732715,36-3251481
1487,1990,AMERICAN INTERNATIONAL GROUP,5272,13-2592361
1491,1990,HADERA PAPER LTD,5337,
1494,1989,CRUISE AMERICA INC,733775,59-1403609
1495,1989,AMERICAN LIST CORP,5385,11-2050322
1496,1990,AMERICAN LOCKER GROUP INC,8855,16-0338330
1497,1990,DAMON GROUP INC,36127,94-6095258
1498,1990,AMERICAN MAIZE-PRODS  -CL A,5405,13-0432720
1500,1990,AMERICAN MANAGEMENT SYSTEMS,1318060,54-0856778
1504,1990,AMERICAN MEDCARE CORP,716384,
1506,1990,AMERICAN MEDICAL BLDGS INC,NA,39-1052791
1507,2012,VANECK VECTORS EMG MKT HIGH,NA,
1511,1990,GOLF ROUNDS.COM INC,NA,59-1224913
1513,1990,AMERICAN MOBILE SYS,714593,22-2412153
1515,1989,AMERICAN MORTGAGE & INVT CO,5486,57-0608606
1518,1990,GALLERY OF HISTORY INC,763730,88-0176525
1523,1990,AMERICAN MEDICAL ALERT CORP,700721,11-2571221
1526,1990,AMERICAN NATIONAL INSURANCE,904163,74-0484030
1527,1990,AMERICAN NATIONAL PETROLEUM,350898,76-0355960
1530,1989,AMERICAN NUCLEAR CORP,5550,83-0178547
1532,1990,AMERICAN OIL & GAS,746896,75-1967662
1533,1990,AMERICAN PACIFIC CORP,350832,59-6490478
1537,1990,FINA INC  -CL A,5611,13-1820692
1539,1990,AMERICAN PHYSICIANS SVC GP,724024,75-1458323
1542,1990,AMERICAN PRECISION INDS,5657,16-1284388
1543,1990,APL LTD,725457,94-2911022
1544,1990,AMERAC ENERGY CORP,5696,75-2181442
1545,1990,AMERICAN REALTY INVESTORS,1102238,75-2847135
1546,1989,AMERICAN RECREATION CENTERS,5719,94-1441151
1551,1990,HUDSONS GRILL AMER,729545,95-3477313
1553,1990,AMERICAN SVGS/FL FSB,718111,59-0618272
1554,1989,AMERICAN SCIENCE ENGINEERING,5768,04-2240991
1559,1990,AMERICAN SHARED HSPTL SERV,744825,94-2918118
1560,1990,AMERICAN SHIP BUILDING CO,5818,34-0066330
1562,1989,AMERICAN SOFTWARE  -CL A,713425,58-1098795
1564,1990,ASK CORPORATION,314202,74-1877399
1567,1990,TRANE INC,836102,13-3465896
1569,1990,AMERICAN SPORTS ADVIS,350190,11-2467985
1573,1989,AMERICAN STORES CO,90811,87-0207226
1575,1990,AMERICAN SURGERY CENTERS CP,NA,86-0323969
1577,1990,AMERICAN TECHNICAL CERAMICS,766430,11-2113382
1581,1990,AT&T CORP,5907,13-4924710
1585,1990,AMERICAN VANGUARD CORP,5981,95-2588080
1586,1990,AMERICAN VISION CENTERS INC,277592,13-2926850
1587,1990,AMERICAN WATER WORKS INC,318819,
1590,1990,AMERICANA HOTELS & REALTY CP,356959,36-3163723
1593,1990,AMERON INTERNATIONAL CORP,790730,77-0100596
1594,1989,AMES DEPT STORES INC,6071,04-2269444
1595,1990,AMERITRUST CORP,20972,51-0116304
1597,1990,AMERIHEALTH INC/DE,NA,
1598,1990,AMETEK INC,1037868,14-1682544
1602,1989,AMGEN INC,318154,95-3540776
1606,1990,AMISTAR CORP,741559,95-2747332
1608,1990,AMP INC,6164,23-0332575
1609,1990,AMOCO CORP,93397,36-1812780
1611,1990,AMPAL-AMERICAN ISRAEL CORP,731859,13-0435685
1613,1990,AMPCO-PITTSBURGH CORP,6176,25-1117717
1618,1989,AMREP CORP,6207,59-0936128
1619,1990,AMSOUTH BANCORPORATION,3133,63-0591257
1620,1990,AMSTAR CORP,807711,13-3382652
1627,1990,ANACOMP INC,6260,35-1144230
1632,1990,ANALOG DEVICES,6281,04-2348234
1633,1990,ANALOGIC CORP,6284,04-2454372
1634,1990,ANALYSTS INTERNATIONAL CORP,6292,41-0905408
1635,1990,ANAREN INC,6314,16-0928561
1640,1990,ANDAL CORP,70262,13-2571394
1641,1989,MOSCOW CABLECOM CORP,6383,06-0659863
1642,1990,CROWN ANDERSEN INC,778808,58-1653577
1648,1989,ASCO LIQUIDATING CORP,7659,51-0083534
1650,1990,ANDREA ELECTRONICS CORP,6494,11-0482020
1651,1990,ANDREW CORP,317093,36-2092797
1652,1990,ANDROS INC,352425,94-1674541
1654,1990,ANGELES CORP,316315,95-3183389
1655,1989,ANGELICA CORP,6571,43-0905260
1656,1989,IQUNIVERSE INC,716399,41-1442918
1659,1990,ANDERSONS INC,821026,34-1562374
1661,1990,NABORS INDUSTRIES LTD,1163739,98-0363970
1663,1990,ANHEUSER-BUSCH COS INC,310569,43-1162835
1667,1989,ANNANDALE CORP,318499,95-2882527
1669,1990,BIW LTD,1169237,04-3617838
1675,1990,ANTHEM ELECTRONICS INC,727120,95-2550381
1676,2010,MAXUM ENERGY LOGISTICS -REDH,1548592,37-1652910
1677,1990,K2 INC,6720,95-2077125
1678,1990,APACHE CORP,6769,41-0747868
1681,1989,APOLLO SOLAR ENERGY INC,726435,84-0601802
1682,1990,APCO OIL AND GAS INTL INC,311471,98-0199453
1686,1989,APOGEE ENTERPRISES INC,6845,41-0919654
1689,1990,APPALACHIAN POWER,6879,54-0124790
1690,1990,APPLE INC,320193,94-2404110
1693,1990,APPLIED BIOSYSTEMS INC -OLD,719545,94-2746743
1703,1990,APPLIED MAGNETICS CORP,6948,95-1950506
1704,1990,APPLIED MATERIALS INC,6951,94-1655526
1705,1989,SINO SHIPPING HOLDINGS INC,312258,84-0789885
1706,1990,ACTUANT CORP  -CL A,6955,39-0168610
1707,1990,APPLIED SOLAR ENERGY CORP,311882,94-2579029
1712,1990,TRECORA RESOURCES,7039,75-1256622
1714,1990,ARAPAHO PETROLEUM INC,7047,84-0602312
1715,1990,ARBOR MEMORIAL SERVICES INC,NA,
1718,1990,ADVANCED OXYGEN TECHNOLOGY,352991,91-1143622
1721,1990,ARCH PETROLEUM INC,722144,83-0248900
1722,1990,ARCHER-DANIELS-MIDLAND CO,7084,41-0129150
1724,1990,ARCHIVE CORP,731655,95-3460358
1728,1990,ARDEN GROUP INC  -CL A,225051,95-3163136
1729,1990,ARDEN INTL KITCHEN INC,353575,41-1330796
1738,1990,WASHINGTON MUTUAL FINL CORP,7214,95-4128205
1739,1990,HOMEFREE VILLAGE RESORTS,65291,37-0959405
1742,1990,ARIZONA PUBLIC SERVICE CO,7286,86-0011170
1743,1990,ARCBEST CORP,894405,71-0673405
1745,1990,ENTERGY ARKANSAS,7323,71-0005900
1746,1990,NORAM ENERGY CORP,7314,
1749,1989,ARLEN CORP,7346,13-2668657
1751,1990,ARLINGTON REALTY INVESTORS,85942,75-1372785
1753,1990,ARMADA CORP,7377,38-0925420
1754,1990,ARMATRON INTERNATIONAL INC,8699,04-1052250
1755,1990,ARMCO INC,7383,31-0200500
1762,1990,ARMSTRONG HOLDINGS INC,1109304,23-3033414
1766,1990,ARNOLD INDUSTRIES INC,700612,23-2200465
1772,1990,ARROW AUTOMOTIVE INDUSTRIES,7533,04-1449115
1773,1990,ARROW ELECTRONICS INC,7536,11-1806155
1779,1990,ARTEL COMMUNICATIONS CORP,718044,04-2724348
1780,1990,ARTISTIC GREETINGS INC,7610,16-0909929
1781,1990,ENTRADE INC,897265,52-2153008
1783,1989,ARTS WAY MFG INC,7623,42-0920725
1786,1990,ARVIN INDUSTRIES INC,7636,35-0550190
1789,1990,ASARCO INC,7649,13-4924440
1790,1990,ASBESTOS CORP LTD,NA,
1794,1990,ASHLAND GLOBAL HOLDINGS INC,1674862,81-2587835
1795,1990,ASHTON-TATE CO,727472,95-3547543
1797,1990,ASPEN EXPLORATION CORP -OLD,NA,84-0811316
1798,1990,ASPEN IMAGING INTL INC,741517,84-0724829
1802,1990,ASSOCIATED COMMUN  -CL A,230036,25-1334463
1811,1990,ASSOCIATED MORTGAGE INVESTOR,7913,59-6201905
1814,1990,ASTRO COMMUNICATIONS INC,351385,73-0973183
1816,1990,ASSOCIATES CORP NORTH AMER,NA,74-1494554
1817,1989,ASTRA CORP,8033,04-2278066
1819,1989,ASTREX INC,8038,13-1930803
1820,1989,ASTRONOVA INC,8146,05-0318215
1822,1990,ASTROCOM CORP,215155,41-0946755
1823,1990,ASTRONICS CORP,8063,16-0959303
1824,1990,ASTROSYSTEMS INC,8065,13-5691210
1826,1990,ATCHISON TOPEKA & SANTA FE,8088,36-2686122
1828,1990,ATCO LTD  -CL I,1261317,
1831,1990,ASSOCIATES FIRST CAP -CL A,7974,06-0876639
1832,1990,ATHEY PRODUCTS CORP,8109,36-0753480
1833,1990,ATHLONE INDS,8117,38-0655415
1835,1990,ATKINSON (G F) CO/CA,8137,94-1649018
1837,1990,SOUTHERN CO GAS,1004155,58-2210952
1843,1990,ATLANTIC ENERGY INC,806393,22-2871471
1848,1990,ATLANTIC RICHFIELD CO,775483,23-0371610
1849,1990,ASA HOLDINGS INC,1023944,58-1354495
1855,1990,ATLAS CONS MINING & DEV CORP,1575721,
1856,1990,ATLAS MINERALS INC,8302,84-1533604
1858,2010,CEVA LOGISTICS INC-REDH,1391594,
1859,1990,ATTENTION MEDICAL-OLD,NA,
1860,1990,ATWOOD OCEANICS,8411,74-1611874
1864,1989,REX AMERICAN RESOURCES CORP,744187,31-1095548
1865,1990,AUGAT INC,8462,04-2022285
1866,1989,AULT INC,723639,41-0842932
1868,1989,ASSURANCEAMERICA CORP,8497,87-0281240
1873,1989,AUTHENTICOLOR INC,8588,13-1602369
1874,1990,AUTO GRAPHICS INC,8598,95-2105641
1875,1990,AUTO-TROL TECHNOLOGY CORP,278048,84-0515221
1877,1989,UNIT INSTRUMENTS INC,350067,33-0077406
1878,1989,AUTODESK INC,769397,94-2819853
1884,1990,DIALYSIS CORP OF AMERICA,201653,59-1757642
1891,1990,AUTOMATIC DATA PROCESSING,8670,22-1467904
1895,1989,AMBASSADOR FOOD SVCS CORP,8734,44-0656199
1896,1990,ACUITY IMAGING INC,702891,04-2688311
1900,1990,AUTOTROL CORP,8759,39-1018228
1902,1990,DELSITE INC,718007,75-1435663
1903,1990,AVALON CORP,22229,58-6087891
1905,1990,AVANTEK INC,277161,94-1606174
1906,1990,A V HOMES INC,39677,23-1739078
1909,1990,AVCO FINANCIAL SERVICES INC,8795,13-2530491
1910,1990,AVEMCO CORP,8802,52-0733935
1913,1990,AVERY DENNISON CORP,8818,95-1492269
1914,1990,AVIALL INC,701650,65-0433083
1919,1990,AVNET INC,8858,11-1890605
1920,1990,AVON PRODUCTS,8868,13-0544597
1923,1990,AYDIN CORP,8919,23-1686808
1926,1989,AZZ INC,8947,75-0948250
1928,1990,AZUSA VALLEY WATER CO,8958,95-1721864
1930,1989,AZTECH INTERNATIONAL LTD,225067,85-0207052
1932,1990,BRITISH AMER TOBACCO PLC,1303523,
1934,1990,B C SUGAR REFINERY  -CL A,NA,
1939,1989,BGS SYSTEMS INC,718976,04-2559993
1940,1990,BI INC,716629,84-0769926
1943,1990,BMC INDUSTRIES INC,215310,41-0169210
1945,1990,BOC GROUP PLC,715095,
1949,1990,BRT APARTMENTS CORP,14846,13-2755856
1950,1990,BSD BANCORP INC,319498,33-0261471
1951,1990,BSD MEDICAL CORP,320174,75-1590407
1952,1990,KNOWLEDGE DATA SYSTEMS INC,319316,87-0333429
1953,1990,CERPLEX GROUP INC,319237,75-1539534
1956,1990,MID-ATLANTIC REALTY TRUST,909298,52-1832411
1966,1990,BACARDI CORP  -CL A,9029,66-0175247
1968,1990,BADGER METER INC,9092,39-0143280
1969,1990,BADGER PAPER MILLS INC,9096,39-0143840
1971,1990,BAIRNCO CORP,350750,13-3057520
1973,1990,BAKER COMMUNICATIONS INC,726656,95-3861469
1974,1990,BAKER (MICHAEL) CORP,9263,25-0927646
1976,1990,BAKER HUGHES INC,808362,76-0207995
1977,1989,BALA CYNWYD CORP,52813,22-1436237
1979,1990,BALCHEM CORP  -CL B,9326,13-2578432
1981,1990,BALDOR ELECTRIC CO,9342,43-0168840
1982,1990,PROTECTIVE INSURANCE CORP,9346,35-0160330
1986,1990,PHLCORP,230046,31-0908183
1988,1990,BALL CORP,9389,35-0160610
1989,1990,BALLARD MEDICAL PRODUCTS,723534,87-0340144
1990,1990,BALLY ENTERTAINMENT CORP,9435,36-2512405
1992,1990,BALTEK CORP,9442,13-2646117
1995,1990,CONSTELLATION ENERGY GRP INC,1004440,52-1964611
1998,1990,BANK ONE CORP,1067092,31-0738296
2000,1990,BANCO CENTRAL HISPANO,723041,
2002,1990,POPULAR INC,763901,66-0667416
2004,1990,BANCOKLAHOMA CORP,9515,73-0780381
2005,1990,BANK OF HAWAII CORP,46195,99-0148992
2006,1989,BANCTEC INC-REDH,318378,75-1559633
2007,1990,FIRST BANKS AMER INC,310979,75-1604965
2008,1990,BANDAG INC,9534,42-0802143
2011,1990,BANGOR HYDRO-ELECTRIC CO,9548,01-0024370
2013,1990,BFC CONSTRUCTION CORP,109553,
2014,1990,BANKBOSTON CORP,36672,04-2471221
2019,1990,BANK OF NEW YORK MELLON CORP,1390777,13-2614959
2021,1990,BANK SOUTH CORP,39394,58-1048216
2022,1990,SIGNET BANKING CORP,9659,54-6037910
2024,1990,BANKAMERICA CORP-OLD,NA,94-1681731
2025,1990,BRE PROPERTIES INC,1011174,94-1722214
2028,1989,VSI HOLDINGS INC,354611,22-2135522
2029,1990,BANKERS TRUST CORP,9749,13-6180473
2031,1990,BANKS OF IOWA,9767,42-0945842
2032,1990,LIBERTY BANCORP INC/OK,737287,73-1218204
2033,1990,FAIRCHILD CORP  -CL A,9779,34-0728587
2034,1990,BANTA CORP,9801,39-0148550
2044,1990,BARD (C.R.) INC,9892,22-1454160
2049,1990,BARNES GROUP INC,9984,06-0247840
2051,1990,BARNETT BANKS INC,10012,59-0560515
2052,1990,BARNWELL INDUSTRIES,10048,72-0496921
2054,1990,BARRETT RESOURCES CORP,351993,84-0832476
2055,1990,BARRICK GOLD CORP,756894,
2057,1990,BARRIER SCIENCE & TECH INC,732786,14-1648511
2058,1990,BARRINGER TECHNOLOGIES,10119,84-0720473
2060,1989,BARRISTER GLOBAL SVCS NTWK,754128,16-1176561
2061,1990,BARRY (R G) CORP,749872,31-4362899
2070,1990,BASE TEN SYSTEMS  -CL A,10242,22-1804206
2072,1990,BASIC AMERICAN MEDICAL INC,717723,35-1331197
2073,1989,EARTHSTONE ENERGY INC -OLD,NA,84-0592823
2076,1990,BASIC PETROLEUM INTL LTD,711345,
2080,1990,BASSETT FURNITURE INDS,10329,54-0135270
2085,1990,BAUSCH & LOMB HLDGS  -REDH,1416436,16-0345235
2086,1990,BAXTER INTERNATIONAL INC,10456,36-0781620
2088,1990,BAY STATE GAS,10488,04-2548120
2089,1990,BAYBANKS INC,10497,04-2008039
2091,1990,BAYLY CORP,10518,84-0014030
2100,1990,BEARD CO,909992,73-0970298
2101,1990,APPLIED INDUSTRIAL TECH INC,109563,34-0117420
2102,1989,BEATRICE COS INC,785960,13-3327481
2109,2012,CHINA SHOUGUAN MINING CORP,1493893,27-2513824
2110,1990,BE HOLDINGS INC  -CL A,824776,39-1593043
2111,1990,BECTON DICKINSON & CO,10795,22-0760120
2113,1990,NITCHES INC,772263,95-2848021
2124,1990,BEL FUSE INC,729580,22-1463699
2127,1990,SILVER ASSETS INC,99286,95-2369956
2128,1990,BELDEN & BLAKE CORP,880114,34-1686642
2130,1990,CARLYLE INDUSTRIES INC,11027,13-1574754
2132,1989,BELL (W.) & CO INC,11109,53-0236649
2135,1990,BELL & HOWELL OPERATING CO,899596,
2136,1990,VERIZON COMMUNICATIONS INC,732712,23-2259884
2137,1990,BCE INC,718940,98-0134477
2138,1990,BELL INDUSTRIES INC,945489,95-2039211
2141,1990,BELL CANADA,225090,98-0032398
2142,1990,VERIZON INC/PA,11107,23-0397860
2146,1990,BELLSOUTH CORP,732713,58-1533433
2149,1990,BELMORAL MINES LTD,275125,
2150,1990,BELO CORP  -SER A COM,356080,75-0135890
2154,1990,BEMIS CO INC,11199,43-0178130
2158,1990,DOCPLANET.COM INC,312651,84-0645174
2159,1990,BENEFICIAL CORP,8960,51-0003820
2162,1990,BENGUET CORP,11290,
2163,1989,BENIHANA INC,935226,65-0538630
2164,1990,BENNETT PETROLEUM CORP,11337,84-0620967
2169,1990,BERGEN BRUNSWIG CORP  -CL A,11454,22-1444512
2174,1990,BERKLINE CORP,11545,62-0818350
2175,1990,BERKSHIRE ENERGY RESOURCES,1056255,04-3408946
2176,1990,BERKSHIRE HATHAWAY,1067983,47-0813844
2183,1989,BESICORP GROUP INC,320443,14-1588329
2184,1989,BEST BUY CO INC,764478,41-0907483
2185,1989,BEST PRODUCTS,11821,54-0853592
2186,1990,BEST LOCK CORP,11814,35-1092570
2188,1990,BETHLEHEM CORP,11856,24-0525900
2189,1990,BETHLEHEM STEEL CORP,11860,24-0526133
2190,1990,BETZDEARBORN INC,11884,23-1503731
2193,1990,BEVERLY ENTERPRISES INC,1040441,62-1691861
